Text Files,Data Files,Audio Files,Video Files,eBook Files,3D Images,Raster Images,Vector Images,Camera Raw Image,Page Layouts,Spreadsheet Files,Database Files,Executable Files,Game Files,CAD Files,GIS Files,Web Files,Plugin Files,Font Files,System Files,Settings Files,Encoded Files,Compressed Files,Disk Images,Developer Files,Backup Files,Misc Files
.ans,.lib,.cpr,.divx,.ebk,.b3d,.sid,.hgl,.raf,.dtx,.cell,.db.crypt12,.cel,.iwd,.jbc,.jpw,.jnlp,.rhp,.bdf,.profile,.stb,.bfa,.z,.dsk,.rbw,.jps,.storymill
.lwp,.tsv,.aa,.bik,.bkk,.mxs,.xcf,.dxb,.mrw,.cdf,.ogwu,.fpt,.ear,.bsp,.nwd,.tfw,.htaccess,.ecf,.suit,.bash_history,.ctb,.hex,.ace,.vc4,.xsd,.quicken2017backup,.idx
.text,.m,.acd,.bin,.ybk,.flt,.pictclipping,.hpgl,.cr3,.cst,.edxz,.wdb,.jsf,.gcf,.nwf,.xol,.opml,.ax,.xfn,.bashrc,.ste,.pdc,.gzip,.dms,.nib,.ori,.mgt
.asc,.clp,.vpr,.mts,.mbp,.a2c,.dcm,.dcs,.x3f,.gdoc,.123,.maq,.ex5,.bms,.xise,.tfrd,.wsdl,.x32,.afm,.bash_profile,.acrobatsecuritysettings,.ccf,.lha,.adf,.yml,.oeb,.!bt
.dvi,.xfdf,.nbs,.swi,.tr3,.facefx,.thm,.cil,.mos,.gslides,.rdf,.mav,.wpm,.pgn,.rtd,.wor,.json,.mxp,.euf,.elf,.application,.rzk,.pak,.gi,.rb,.qic,.cls
.p7s,.hdf,.slp,.scm,.rzb,.daz,.hdp,.odg,.erf,.ltf,.sxc,.ade,.ipf,.unf,.a2l,.gst,.wgt,.component,.vlw,.edj,.appref-ms,.mse,.pf,.ima,.pch,.bup,.rwz
.nfo,.roadtrip,.trak,.yuv,.rzs,.dsf,.abm,.sxd,.nrw,.fcdt,.sdc,.dbt,.workflow,.sm,.phj,.rgn,.ucf,.xpt,.ytf,.group,.c2r,.dcf,.c01,.image,.dpr,.bdb,.partial
.ott,.mdj,.pls,.vf,.tk3,.mdd,.pxm,.cvi,.j6i,.spub,.xlsm,.pan,.scr,.udk,.tcp,.ptm,.xfdl,.xlam,.gxf,.nb0,.cva,.dco,.piz,.daa,.res,.xlk,.wlx
.sxw,.contact,.ptf,.ts,.lrx,.lxo,.cpg,.cv5,.crw,.lbl,.ots,.pnz,.hta,.sims3pack,.tcd,.ptt,.alx,.ppam,.etx,.pck,.obi,.fsm,.r01,.tc,.dproj,.bck,.sis.dm
.sdw,.menc,.aa3,.veg,.lrs,.cgfx,.wbz,.fh9,.mfw,.t2d,.pmd,.fic,.xlm,.gbx,.scdoc,.est,.qbo,.mtx,.abf,.bcd,.utz,.dlc,.pae,.uif,.vcproj,.nco,.sisx.dm
.utf8,.ndx,.m4r,.mod,.etd,.cg,.wbc,.fs,.cs1,.ao,.pmv,.ib,.csh,.scs,.ms14,.stt,.axd,.8bf,.pk,.prop,.hme,.dcd,.zfsendtotarget,.d64,.vdproj,.wbk,.nomedia
.diz,.wab,.caf,.imovieproj,.dnl,.ccp,.pvr,.pd,,.cdoc,.ogw,.ask,.fxp,.unity,.mp14,.avl,.att,.xlv,.gf,.pwl,.clg,.cpt,.package,.x64,.gs,.abk,.mfil
.rtfd,.odp,.nki,.xvid,.oebzip,.duf,.dt2,.plt,,.pzfx,.wr1,.nsf,.jse,.unity3d,.gds,.apr,.pac,.milk,.mf,.kext,.xtodvd,.suf,.uha,.t64,.as,.qbx,.exd
.mbox,.ppf,.logicx,.fbr,.cbc,.fun,.itc2,.vst,,.p65,.hcdt,.dbc,.vbe,.scn,.igs,.style,.spc,.mde,.cha,.vxd,.ngrr,.switch,.cp9,.bwi,.hpp,.qbb,.pdpcomp
.rtd,.vdf,.ptxt,.bsf,.pml,.pmx,.ipx,.cmx,,.qxd,.wks,.dcx,.wsh,.osz,.dst,.dt2,.asax,.net,.txf,.idx,.rmskin,.ync,.rte,.lcd,.gmk,.rrr,.olb
.readme,.bvp,.rns,.ogv,.pmlz,.3mf,.afx,.drw,,.rmr,.tmvt,.scx,.rox,.rep,.hus,.dt0,.xhtm,.flt,.lwfn,.nt,.fetchmirror,.bpw,.xef,.bwt,.pod,.mem,.qxl
.kon,.rp,.nra,.f4v,.orb,.x3g,.jps,.tlc,,.gem,.stc,.p96,.rgs,.bzw,.mhs,.at5,.a5w,.mfx,.ffil,.key,.dcp,.emc,.pwa,.vcd,.iml,.tbk,.frm
.fpt,.qb2011,.emp,.trp,.pobi,.amf,.pspbrush,.scv,,.prn,.dfg,.p97,.vbscript,.bsb,.fpd,.ssf,.fcgi,.qtr,.vnf,.kbd,.qrc,.snk,.lnx,.md1,.vbproj,.llx,._sys.lfo
.frt,.svf,.emx,.stx,.han,.3df,.tif,.dpr,,.indt,.fp,.$er,.pyc,.w3n,.fnc,.imi,.cshtml,.qtx,.eot,.msc,.ase,.mjd,.s7z,.p01,.dex,.oyx,.jcw
.lbt,.jnt,.amz,.rcproject,.ea,.off,.mpo,.dpp,,.dcx,._xlsx,.dp1,.pyo,.upk,.gbx,.axe,.hype,.8li,.tte,.cnt,.idpp,.bvd,.dar,.pdi,.r,.abbu,.ldb
.lst,.rpt,.acm,.hdmov,.eal,.ply,.skm,.cvg,,.dotm,._xls,.kdb,.fky,.pcc,.asm,.img,.freeway,.vdf,.glif,.pol,.ps1xml,.cng,.dgc,.vaporcd,.rexx,.bak,.tfil
